FANUC DIE SCANNER RESULTS
Timestamp,2025-07-14 13:51:15

SUMMARY RESULTS
Die Center X (mm),400.5
Die Center Y (mm),813.3
Diameter (mm),103.1
Average Height (mm),67.1
Confidence (%),13.2

ACCURACY ANALYSIS
True Center X (mm),393.0
True Center Y (mm),809.0
X Error (mm),7.5
Y Error (mm),4.3
Total Error (mm),8.6
Target Achieved,No

DATA QUALITY
Total Scan Points,4136
Valid Scan Points,4136
Invalid Readings,0
Data Quality (%),100.0

EDGE DETECTION
Total Edges Found,266
Outer Edges (Used),6
Interior Edges (Filtered),130

COVERAGE ANALYSIS
X Range (mm),120.5
Y Range (mm),134.7
Total Area (mm²),16239
Point Density (points/mm²),0.255
Edge Coverage (% perimeter),38.6
Scanning Efficiency (%),100.0

SCAN POINTS DATA
Point_ID,X_mm,Y_mm,Z_mm,Height_mm,Valid,Timestamp
1,443.90,864.40,395.36,65.00,Yes,1752517385.94
2,443.90,863.90,395.36,65.10,Yes,1752517386.35
3,443.90,863.40,395.36,65.00,Yes,1752517386.69
4,443.90,862.90,395.36,65.10,Yes,1752517386.97
5,443.90,862.40,395.36,65.10,Yes,1752517387.28
6,443.90,861.90,395.36,75.70,Yes,1752517387.58
7,443.90,861.40,395.36,75.00,Yes,1752517387.97
8,443.90,860.90,395.36,75.30,Yes,1752517388.34
9,443.90,860.40,395.36,75.70,Yes,1752517388.71
10,443.90,859.90,395.36,75.40,Yes,1752517389.12
11,443.90,859.40,395.36,75.50,Yes,1752517389.44
12,443.90,858.90,395.36,75.60,Yes,1752517389.77
13,443.90,858.40,395.36,75.40,Yes,1752517390.08
14,443.90,857.90,395.36,75.60,Yes,1752517390.47
15,443.90,857.40,395.36,75.60,Yes,1752517390.85
16,443.90,856.90,395.36,75.50,Yes,1752517391.18
17,443.90,856.40,395.36,75.50,Yes,1752517391.56
18,443.90,855.90,395.36,75.60,Yes,1752517391.92
19,443.90,855.40,395.36,75.50,Yes,1752517392.26
20,443.90,854.90,395.36,75.50,Yes,1752517392.57
21,443.90,854.40,395.36,75.40,Yes,1752517392.95
