FANUC DIE SCANNER RESULTS
Timestamp,2025-07-11 16:48:39

SUMMARY RESULTS
Die Center X (mm),261.2
Die Center Y (mm),462.6
Diameter (mm),706.4
Average Height (mm),67.5
Confidence (%),0.0

ACCURACY ANALYSIS
True Center X (mm),398.0
True Center Y (mm),809.0
X Error (mm),136.8
Y Error (mm),346.4
Total Error (mm),372.5
Target Achieved,No

DATA QUALITY
Total Scan Points,687
Valid Scan Points,687
Invalid Readings,0
Data Quality (%),100.0

EDGE DETECTION
Total Edges Found,28
Outer Edges (Used),4
Interior Edges (Filtered),24

COVERAGE ANALYSIS
X Range (mm),120.9
Y Range (mm),120.0
Total Area (mm²),14512
Point Density (points/mm²),0.047
Edge Coverage (% perimeter),9.7
Scanning Efficiency (%),100.0

SCAN POINTS DATA
Point_ID,X_mm,Y_mm,Z_mm,Height_mm,Valid,Timestamp
1,445.69,870.11,396.47,65.00,Yes,1752269981.79
2,445.69,869.11,396.47,65.00,Yes,1752269982.18
3,445.69,868.11,396.47,65.00,Yes,1752269982.47
4,445.69,867.11,396.47,64.90,Yes,1752269982.95
5,445.69,866.11,396.47,65.10,Yes,1752269983.41
6,445.69,865.11,396.47,75.60,Yes,1752269983.75
7,445.69,864.11,396.47,75.30,Yes,1752269984.16
8,445.69,863.11,396.47,75.30,Yes,1752269984.62
9,445.69,862.11,396.47,75.30,Yes,1752269985.14
10,445.69,861.11,396.47,75.50,Yes,1752269985.50
11,445.69,860.11,396.47,75.40,Yes,1752269985.80
12,445.69,859.11,396.47,75.60,Yes,1752269986.18
13,445.69,858.11,396.47,75.50,Yes,1752269986.53
14,445.69,857.11,396.47,75.30,Yes,1752269986.86
15,445.69,856.11,396.47,75.80,Yes,1752269987.24
16,445.69,855.11,396.47,75.40,Yes,1752269987.70
17,445.69,854.11,396.47,75.40,Yes,1752269988.08
18,445.69,853.11,396.47,75.50,Yes,1752269988.60
19,445.69,852.11,396.47,75.40,Yes,1752269988.96
20,445.69,851.11,396.47,75.40,Yes,1752269989.33
21,445.69,850.11,396.47,75.40,Yes,1752269989.69
22,445.69,849.11,396.47,75.30,Yes,1752269990.09
23,445.69,848.11,396.47,75.50,Yes,1752269990.44
24,445.69,847.11,396.47,75.30,Yes,1752269990.87
25,445.69,846.11,396.47,75.40,Yes,1752269991.26
26,445.69,845.11,396.47,75.70,Yes,1752269991.70
27,445.69,844.11,396.47,75.50,Yes,1752269992.22
28,445.69,843.11,396.47,75.30,Yes,1752269992.61
29,445.69,842.11,396.47,75.70,Yes,1752269992.98
30,445.69,841.11,396.47,75.50,Yes,1752269993.42
31,445.69,840.11,396.47,75.80,Yes,1752269993.81
32,445.69,839.11,396.47,75.90,Yes,1752269994.28
33,445.69,838.11,396.47,75.90,Yes,1752269994.70
34,445.69,837.11,396.47,55.10,Yes,1752269995.06
35,445.69,836.11,396.47,55.10,Yes,1752269995.53
36,445.69,835.11,396.47,55.10,Yes,1752269995.89
37,445.69,834.11,396.47,63.70,Yes,1752269996.40
38,445.69,833.11,396.47,62.80,Yes,1752269996.80
39,445.69,832.11,396.47,62.70,Yes,1752269997.17
40,445.69,831.11,396.47,62.70,Yes,1752269997.56
41,445.69,830.11,396.47,62.60,Yes,1752269997.94
42,445.69,829.11,396.47,62.70,Yes,1752269998.29
43,445.69,828.11,396.47,62.70,Yes,1752269998.61
44,445.69,827.11,396.47,62.60,Yes,1752269999.02
45,445.69,826.11,396.47,62.70,Yes,1752269999.39
46,445.69,825.11,396.47,62.70,Yes,1752269999.75
47,445.69,824.11,396.47,62.60,Yes,1752270000.13
48,445.69,823.11,396.47,62.60,Yes,1752270000.50
49,445.69,822.11,396.47,62.70,Yes,1752270000.88
50,445.69,821.11,396.47,62.70,Yes,1752270001.22
51,445.69,820.11,396.47,62.70,Yes,1752270001.58
52,445.69,819.11,396.47,62.80,Yes,1752270001.89
53,445.69,818.11,396.47,62.70,Yes,1752270002.30
54,445.69,817.11,396.47,62.80,Yes,1752270002.66
55,445.69,816.11,396.47,62.70,Yes,1752270003.09
56,445.69,815.11,396.47,62.70,Yes,1752270003.47
57,445.69,814.11,396.47,62.70,Yes,1752270003.83
58,445.69,813.11,396.47,62.80,Yes,1752270004.21
59,445.69,812.11,396.47,62.60,Yes,1752270004.55
60,445.69,811.11,396.47,62.70,Yes,1752270004.91
61,445.69,810.11,396.47,62.70,Yes,1752270005.32
62,445.69,809.11,396.47,62.60,Yes,1752270005.73
63,445.69,808.11,396.47,62.70,Yes,1752270006.07
64,445.69,807.11,396.47,62.70,Yes,1752270006.43
65,445.69,806.11,396.47,62.70,Yes,1752270006.81
66,445.69,805.11,396.47,62.80,Yes,1752270007.23
67,445.69,804.11,396.47,62.70,Yes,1752270007.82
68,445.69,803.11,396.47,62.70,Yes,1752270008.35
69,445.69,802.11,396.47,62.80,Yes,1752270008.91
70,445.69,801.11,396.47,62.80,Yes,1752270009.44
71,445.69,800.11,396.47,62.80,Yes,1752270009.99
72,445.69,799.11,396.47,62.80,Yes,1752270010.56
73,445.69,798.11,396.47,62.90,Yes,1752270011.01
74,445.69,797.11,396.47,62.80,Yes,1752270011.54
75,445.69,796.11,396.47,62.80,Yes,1752270012.13
76,445.69,795.11,396.47,62.70,Yes,1752270012.76
77,445.69,794.11,396.47,62.90,Yes,1752270013.24
78,445.69,793.11,396.47,62.80,Yes,1752270013.81
79,445.69,792.11,396.47,62.70,Yes,1752270014.49
80,445.69,791.11,396.47,62.90,Yes,1752270015.01
81,445.69,790.11,396.47,62.80,Yes,1752270015.56
82,445.69,789.11,396.47,63.00,Yes,1752270015.94
83,445.69,788.11,396.47,62.80,Yes,1752270016.42
84,445.69,787.11,396.47,62.90,Yes,1752270016.91
85,445.69,786.11,396.47,63.00,Yes,1752270017.41
86,445.69,785.11,396.47,63.00,Yes,1752270017.90
87,445.69,784.11,396.47,62.90,Yes,1752270018.38
88,445.69,783.11,396.47,62.90,Yes,1752270018.76
89,445.69,782.11,396.47,62.80,Yes,1752270019.09
90,445.69,781.11,396.47,62.80,Yes,1752270019.43
91,445.69,780.11,396.47,62.90,Yes,1752270019.76
92,445.69,779.11,396.47,62.90,Yes,1752270020.16
93,445.69,778.11,396.47,62.80,Yes,1752270020.69
94,445.69,777.11,396.47,62.50,Yes,1752270021.19
95,445.69,776.11,396.47,62.80,Yes,1752270021.72
96,445.69,775.11,396.47,75.80,Yes,1752270022.16
97,445.69,774.11,396.47,75.80,Yes,1752270022.59
98,445.69,773.11,396.47,76.10,Yes,1752270023.06
99,445.69,772.11,396.47,75.60,Yes,1752270023.52
100,445.69,771.11,396.47,75.70,Yes,1752270023.94
101,445.69,770.11,396.47,75.90,Yes,1752270024.43
102,445.69,769.11,396.47,75.70,Yes,1752270024.89
103,445.69,768.11,396.47,75.90,Yes,1752270025.39
104,445.69,767.11,396.47,75.80,Yes,1752270025.82
105,445.69,766.11,396.47,75.80,Yes,1752270026.27
106,445.69,765.11,396.47,76.00,Yes,1752270026.74
107,445.69,764.11,396.47,76.00,Yes,1752270027.21
108,445.69,763.11,396.47,75.90,Yes,1752270027.66
109,445.69,762.11,396.47,75.90,Yes,1752270028.07
110,445.69,761.11,396.47,75.90,Yes,1752270028.51
111,445.69,760.11,396.47,75.90,Yes,1752270028.95
112,445.69,759.11,396.47,75.90,Yes,1752270029.37
113,445.69,758.11,396.47,75.80,Yes,1752270029.80
114,445.69,757.11,396.47,76.00,Yes,1752270030.23
115,445.69,756.11,396.47,76.00,Yes,1752270030.67
116,445.69,755.11,396.47,76.00,Yes,1752270031.13
117,445.69,754.11,396.47,75.90,Yes,1752270031.58
118,445.69,753.11,396.47,76.00,Yes,1752270032.04
119,445.69,752.11,396.47,75.90,Yes,1752270032.49
120,445.69,751.11,396.47,76.00,Yes,1752270032.92
121,445.69,750.11,396.47,75.90,Yes,1752270033.34
122,439.34,750.11,396.47,76.10,Yes,1752270034.23
123,439.34,751.11,396.47,76.20,Yes,1752270034.71
124,439.34,752.11,396.47,76.20,Yes,1752270035.14
125,439.34,753.11,396.47,76.20,Yes,1752270035.59
126,439.34,754.11,396.47,76.20,Yes,1752270036.06
127,439.34,755.11,396.47,76.00,Yes,1752270036.52
128,439.34,756.11,396.47,76.00,Yes,1752270036.98
129,439.34,757.11,396.47,75.80,Yes,1752270037.41
130,439.34,758.11,396.47,75.90,Yes,1752270037.88
131,439.34,759.11,396.47,75.90,Yes,1752270038.38
132,439.34,760.11,396.47,75.80,Yes,1752270038.88
133,439.34,761.11,396.47,76.00,Yes,1752270039.38
134,439.34,762.11,396.47,75.80,Yes,1752270039.85
135,439.34,763.11,396.47,75.80,Yes,1752270040.30
136,439.34,764.11,396.47,75.80,Yes,1752270040.80
137,439.34,765.11,396.47,75.70,Yes,1752270041.31
138,439.34,766.11,396.47,75.70,Yes,1752270041.80
139,439.34,767.11,396.47,75.90,Yes,1752270042.28
140,439.34,768.11,396.47,75.70,Yes,1752270042.79
141,439.34,769.11,396.47,75.60,Yes,1752270043.26
