FANUC DIE SCANNER RESULTS
Timestamp,2025-07-15 10:58:26

SUMMARY RESULTS
Die Center X (mm),403.0
Die Center Y (mm),809.2
Diameter (mm),105.5
Average Height (mm),67.9
Confidence (%),89.6

ACCURACY ANALYSIS
True Center X (mm),398.0
True Center Y (mm),809.0
X Error (mm),5.0
Y Error (mm),0.2
Total Error (mm),5.0
Target Achieved,No

DATA QUALITY
Total Scan Points,2105
Valid Scan Points,2105
Invalid Readings,0
Data Quality (%),100.0

EDGE DETECTION
Total Edges Found,123
Outer Edges (Used),9
Interior Edges (Filtered),57

COVERAGE ANALYSIS
X Range (mm),125.3
Y Range (mm),133.4
Total Area (mm²),16721
Point Density (points/mm²),0.126
Edge Coverage (% perimeter),52.4
Scanning Efficiency (%),100.0

SCAN POINTS DATA
Point_ID,X_mm,Y_mm,Z_mm,Height_mm,Valid,Timestamp
1,443.90,867.00,395.36,64.90,Yes,1752594344.99
2,443.90,865.80,395.36,65.00,Yes,1752594345.41
3,443.90,864.60,395.36,64.90,Yes,1752594345.73
4,443.90,863.40,395.36,65.00,Yes,1752594346.06
5,443.90,862.20,395.36,64.90,Yes,1752594346.41
6,443.90,861.00,395.36,75.40,Yes,1752594346.72
7,443.90,859.80,395.36,75.00,Yes,1752594347.03
8,443.90,858.60,395.36,75.10,Yes,1752594347.38
9,443.90,857.40,395.36,75.50,Yes,1752594347.69
10,443.90,856.20,395.36,75.50,Yes,1752594348.01
11,443.90,855.00,395.36,75.30,Yes,1752594348.35
12,443.90,853.80,395.36,75.30,Yes,1752594348.68
13,443.90,852.60,395.36,75.30,Yes,1752594349.02
14,443.90,851.40,395.36,75.60,Yes,1752594349.37
15,443.90,850.20,395.36,75.40,Yes,1752594349.67
16,443.90,849.00,395.36,75.10,Yes,1752594350.00
17,443.90,847.80,395.36,74.90,Yes,1752594350.33
18,443.90,846.60,395.36,75.50,Yes,1752594350.64
19,443.90,845.40,395.36,75.90,Yes,1752594350.98
20,443.90,844.20,395.36,74.90,Yes,1752594351.33
21,443.90,843.00,395.36,55.10,Yes,1752594351.66
22,443.90,841.80,395.36,68.10,Yes,1752594351.96
23,443.90,840.60,395.36,62.70,Yes,1752594352.33
24,443.90,839.40,395.36,62.50,Yes,1752594352.65
25,443.90,838.20,395.36,62.40,Yes,1752594352.96
26,443.90,837.00,395.36,62.60,Yes,1752594353.28
27,443.90,835.80,395.36,62.50,Yes,1752594353.60
28,443.90,834.60,395.36,62.50,Yes,1752594353.92
29,443.90,833.40,395.36,62.60,Yes,1752594354.26
30,443.90,832.20,395.36,62.50,Yes,1752594354.57
31,443.90,831.00,395.36,62.70,Yes,1752594354.87
32,443.90,829.80,395.36,62.50,Yes,1752594355.21
33,443.90,828.60,395.36,62.50,Yes,1752594355.55
34,443.90,827.40,395.36,62.40,Yes,1752594355.87
35,443.90,826.20,395.36,62.40,Yes,1752594356.21
36,443.90,825.00,395.36,62.50,Yes,1752594356.53
37,443.90,823.80,395.36,62.40,Yes,1752594356.85
38,443.90,822.60,395.36,62.50,Yes,1752594357.17
39,443.90,821.40,395.36,62.50,Yes,1752594357.48
40,443.90,820.20,395.36,62.50,Yes,1752594357.81
41,443.90,819.00,395.36,62.40,Yes,1752594358.11
42,443.90,817.80,395.36,62.60,Yes,1752594358.44
43,443.90,816.60,395.36,62.60,Yes,1752594358.78
44,443.90,815.40,395.36,62.70,Yes,1752594359.12
45,443.90,814.20,395.36,62.60,Yes,1752594359.43
46,443.90,813.00,395.36,62.60,Yes,1752594359.76
47,443.90,811.80,395.36,62.70,Yes,1752594360.09
48,443.90,810.60,395.36,62.60,Yes,1752594360.40
49,443.90,809.40,395.36,62.60,Yes,1752594360.73
50,443.90,808.20,395.36,62.70,Yes,1752594361.08
51,443.90,807.00,395.36,62.70,Yes,1752594361.41
52,443.90,805.80,395.36,62.80,Yes,1752594361.71
53,443.90,804.60,395.36,62.70,Yes,1752594362.05
54,443.90,803.40,395.36,62.60,Yes,1752594362.37
55,443.90,802.20,395.36,62.70,Yes,1752594362.69
56,443.90,801.00,395.36,62.80,Yes,1752594362.99
57,443.90,799.80,395.36,62.80,Yes,1752594363.32
58,443.90,798.60,395.36,62.80,Yes,1752594363.66
59,443.90,797.40,395.36,62.80,Yes,1752594364.02
60,443.90,796.20,395.36,62.80,Yes,1752594364.35
61,443.90,795.00,395.36,62.90,Yes,1752594364.67
62,443.90,793.80,395.36,62.90,Yes,1752594365.01
63,443.90,792.60,395.36,62.80,Yes,1752594365.33
64,443.90,791.40,395.36,62.80,Yes,1752594365.64
65,443.90,790.20,395.36,62.80,Yes,1752594365.96
66,443.90,789.00,395.36,62.80,Yes,1752594366.28
67,443.90,787.80,395.36,62.90,Yes,1752594366.61
68,443.90,786.60,395.36,62.80,Yes,1752594366.92
69,443.90,785.40,395.36,62.90,Yes,1752594367.24
70,443.90,784.20,395.36,62.90,Yes,1752594367.57
71,443.90,783.00,395.36,63.00,Yes,1752594367.88
72,443.90,781.80,395.36,62.80,Yes,1752594368.21
73,443.90,780.60,395.36,62.90,Yes,1752594368.52
74,443.90,779.40,395.36,62.80,Yes,1752594368.85
75,443.90,778.20,395.36,62.90,Yes,1752594369.15
76,443.90,777.00,395.36,63.00,Yes,1752594369.50
77,443.90,775.80,395.36,62.90,Yes,1752594369.87
78,443.90,774.60,395.36,63.00,Yes,1752594370.19
79,443.90,773.40,395.36,62.90,Yes,1752594370.53
80,443.90,772.20,395.36,63.00,Yes,1752594370.86
81,443.90,771.00,395.36,62.80,Yes,1752594371.18
82,443.90,769.80,395.36,63.00,Yes,1752594371.52
83,443.90,768.60,395.36,62.70,Yes,1752594371.84
84,443.90,767.40,395.36,63.00,Yes,1752594372.18
85,443.90,766.20,395.36,62.90,Yes,1752594372.47
86,443.90,765.00,395.36,63.20,Yes,1752594372.81
87,443.90,763.80,395.36,77.00,Yes,1752594373.17
88,443.90,762.60,395.36,75.60,Yes,1752594373.50
89,443.90,761.40,395.36,75.80,Yes,1752594373.80
90,443.90,760.20,395.36,76.00,Yes,1752594374.14
91,443.90,759.00,395.36,76.20,Yes,1752594374.48
92,443.90,757.80,395.36,75.80,Yes,1752594374.81
93,443.90,756.60,395.36,75.60,Yes,1752594375.13
94,443.90,755.40,395.36,75.90,Yes,1752594375.48
95,443.90,754.20,395.36,76.10,Yes,1752594375.80
96,443.90,753.00,395.36,75.90,Yes,1752594376.12
97,443.90,751.80,395.36,76.10,Yes,1752594376.44
98,443.90,750.60,395.36,76.10,Yes,1752594376.78
99,443.90,749.40,395.36,76.10,Yes,1752594377.08
100,443.90,748.20,395.36,76.10,Yes,1752594377.40
101,443.90,747.00,395.36,76.10,Yes,1752594377.71
102,437.55,747.00,395.36,76.20,Yes,1752594378.40
103,437.55,748.20,395.36,76.00,Yes,1752594378.78
104,437.55,749.40,395.36,76.00,Yes,1752594379.11
105,437.55,750.60,395.36,75.90,Yes,1752594379.45
106,437.55,751.80,395.36,76.50,Yes,1752594379.76
107,437.55,753.00,395.36,76.20,Yes,1752594380.09
108,437.55,754.20,395.36,76.20,Yes,1752594380.42
109,437.55,755.40,395.36,75.70,Yes,1752594380.73
110,437.55,756.60,395.36,75.90,Yes,1752594381.05
111,437.55,757.80,395.36,75.90,Yes,1752594381.38
112,437.55,759.00,395.36,76.00,Yes,1752594381.68
113,437.55,760.20,395.36,75.90,Yes,1752594382.00
114,437.55,761.40,395.36,75.90,Yes,1752594382.32
115,437.55,762.60,395.36,75.80,Yes,1752594382.64
116,437.55,763.80,395.36,75.90,Yes,1752594382.97
117,437.55,765.00,395.36,75.90,Yes,1752594383.29
118,437.55,766.20,395.36,75.70,Yes,1752594383.60
119,437.55,767.40,395.36,75.70,Yes,1752594383.94
120,437.55,768.60,395.36,75.90,Yes,1752594384.23
121,437.55,769.80,395.36,75.70,Yes,1752594384.56
122,437.55,771.00,395.36,75.60,Yes,1752594384.89
123,437.55,772.20,395.36,62.80,Yes,1752594385.20
124,437.55,773.40,395.36,62.80,Yes,1752594385.52
125,437.55,774.60,395.36,62.90,Yes,1752594385.83
126,437.55,775.80,395.36,62.80,Yes,1752594386.16
127,437.55,777.00,395.36,62.70,Yes,1752594386.49
128,437.55,778.20,395.36,62.70,Yes,1752594386.82
129,437.55,779.40,395.36,62.80,Yes,1752594387.16
130,437.55,780.60,395.36,62.80,Yes,1752594387.55
131,437.55,781.80,395.36,62.90,Yes,1752594387.90
132,437.55,783.00,395.36,62.80,Yes,1752594388.25
133,437.55,784.20,395.36,62.80,Yes,1752594388.57
134,437.55,785.40,395.36,62.80,Yes,1752594388.90
