FANUC DIE SCANNER RESULTS
Timestamp,2025-07-11 17:21:34

SUMMARY RESULTS
Die Center X (mm),406.6
Die Center Y (mm),820.1
Diameter (mm),101.9
Average Height (mm),66.9
Confidence (%),0.0

ACCURACY ANALYSIS
True Center X (mm),398.0
True Center Y (mm),809.0
X Error (mm),8.6
Y Error (mm),11.1
Total Error (mm),14.0
Target Achieved,No

DATA QUALITY
Total Scan Points,1682
Valid Scan Points,1682
Invalid Readings,0
Data Quality (%),100.0

EDGE DETECTION
Total Edges Found,85
Outer Edges (Used),23
Interior Edges (Filtered),62

COVERAGE ANALYSIS
X Range (mm),124.3
Y Range (mm),125.3
Total Area (mm²),15575
Point Density (points/mm²),0.108
Edge Coverage (% perimeter),44.3
Scanning Efficiency (%),100.0

SCAN POINTS DATA
Point_ID,X_mm,Y_mm,Z_mm,Height_mm,Valid,Timestamp
1,445.69,870.11,396.47,65.00,Yes,1752271614.07
2,445.69,869.11,396.47,65.00,Yes,1752271614.54
3,445.69,868.11,396.47,65.00,Yes,1752271614.93
4,445.69,867.11,396.47,65.00,Yes,1752271615.38
5,445.69,866.11,396.47,65.00,Yes,1752271615.80
6,445.69,865.11,396.47,75.50,Yes,1752271616.25
7,445.69,864.11,396.47,75.50,Yes,1752271616.69
8,445.69,863.11,396.47,75.40,Yes,1752271617.15
9,445.69,862.11,396.47,75.40,Yes,1752271617.56
10,445.69,861.11,396.47,75.50,Yes,1752271618.04
11,445.69,860.11,396.47,75.50,Yes,1752271618.45
12,445.69,859.11,396.47,75.40,Yes,1752271618.89
13,445.69,858.11,396.47,75.80,Yes,1752271619.34
14,445.69,857.11,396.47,75.40,Yes,1752271619.77
15,445.69,856.11,396.47,75.20,Yes,1752271620.20
16,445.69,855.11,396.47,75.70,Yes,1752271620.60
17,445.69,854.11,396.47,75.40,Yes,1752271621.05
18,445.69,853.11,396.47,75.60,Yes,1752271621.45
19,445.69,852.11,396.47,75.60,Yes,1752271621.84
20,445.69,851.11,396.47,75.50,Yes,1752271622.20
21,445.69,850.11,396.47,75.60,Yes,1752271622.60
22,445.69,849.11,396.47,75.40,Yes,1752271623.02
23,445.69,848.11,396.47,75.60,Yes,1752271623.45
24,445.69,847.11,396.47,75.70,Yes,1752271623.88
25,445.69,846.11,396.47,75.60,Yes,1752271624.31
26,445.69,845.11,396.47,75.50,Yes,1752271624.70
27,445.69,844.11,396.47,75.60,Yes,1752271625.07
28,445.69,843.11,396.47,75.40,Yes,1752271625.48
29,445.69,842.11,396.47,75.60,Yes,1752271625.87
30,445.69,841.11,396.47,75.60,Yes,1752271626.26
31,445.69,840.11,396.47,76.10,Yes,1752271626.68
32,445.69,839.11,396.47,76.10,Yes,1752271627.09
33,445.69,838.11,396.47,74.30,Yes,1752271627.48
34,445.69,837.11,396.47,55.10,Yes,1752271627.86
35,445.69,836.11,396.47,55.10,Yes,1752271628.25
36,445.69,835.11,396.47,64.10,Yes,1752271628.64
37,445.69,834.11,396.47,62.40,Yes,1752271629.04
38,445.69,833.11,396.47,62.40,Yes,1752271629.44
39,445.69,832.11,396.47,62.40,Yes,1752271629.88
40,445.69,831.11,396.47,62.50,Yes,1752271630.30
41,445.69,830.11,396.47,62.60,Yes,1752271630.76
42,445.69,829.11,396.47,62.60,Yes,1752271631.24
43,445.69,828.11,396.47,62.50,Yes,1752271631.73
44,445.69,827.11,396.47,62.70,Yes,1752271632.18
45,445.69,826.11,396.47,62.70,Yes,1752271632.61
